[aderton, 2]
[aldrig, 2]
[All, 1]
[alla, 3]
[Alla, 2]
[allas, 1]
[allemansrätten, 1]
[allmän, 7]
[allmänna, 19]
[allmänt, 1]
[andra, 14]
[andras, 1]
[angelägenheter, 1]
[angelägna, 2]
[anges, 3]
[angives, 3]
[angående, 1]
[angår, 1]
[ankomma, 1]
[anledning, 4]
[anmäldes, 1]
[annan, 20]
[annat, 12]
[anordna, 2]
[anseende, 1]
[anses, 1]
[ansvarig, 1]
[antaga, 1]
[Anteckning, 1]
[användas, 1]
[användningen, 3]
[arbete, 1]
[arbetsgivare, 2]
[arbetstagare, 1]
[att, 59]
[automatisk, 2]
[av, 66]
[avgift, 3]
[avgiftsskyldigheten, 1]
[avlyssning, 1]
[avseende, 1]
[avser, 1]
[avses, 8]
[avsevärt, 1]
[avstå, 2]
[avtal, 1]
[barn, 2]
[beakta, 1]
[beaktas, 1]
[bedriva, 1]
[bedömandet, 1]
[begränsas, 8]
[begränsning, 1]
[Begränsning, 2]
[begränsningar, 2]
[Begränsningar, 1]
[Begränsningen, 1]
[begången, 1]
[behålla, 1]
[behörig, 1]
[beivrandet, 1]
[belagd, 1]
[bemyndigande, 1]
[berörd, 1]
[berövas, 1]
[berövat, 1]
[Beslutanderätten, 1]
[beslutar, 1]
[beslutet, 1]
[bestämd, 1]
[bestämmas, 1]
[bestämmelser, 2]
[bestämmer, 1]
[Beträffande, 1]
[betydande, 1]
[bevista, 1]
[bild, 1]
[blir, 2]
[blivit, 1]
[bosatt, 2]
[bostad, 1]
[brev, 1]
[brott, 9]
[brottspåföljd, 5]
[bygger, 1]
[byggnad, 2]
[byggnader, 1]
[bör, 1]
[databehandling, 2]
[de, 6]
[De, 1]
[del, 4]
[delaktighet, 1]
[deltaga, 3]
[dem, 1]
[demokratins, 1]
[demokratiskt, 1]
[demonstration, 3]
[demonstrationen, 1]
[demonstrationsfrihet, 2]
[demonstrationsfriheten, 2]
[den, 20]
[Den, 7]
[denna, 2]
[denne, 1]
[dess, 1]
[dessa, 1]
[det, 17]
[Det, 7]
[detta, 1]
[diskriminering, 1]
[dock, 3]
[domare, 1]
[domstol, 7]
[Domstol, 1]
[domstolar, 1]
[Domstolar, 1]
[domstolsförhandling, 1]
[domstolsprövning, 2]
[driva, 2]
[drottning, 2]
[dröjsmål, 2]
[då, 3]
[där, 2]
[därför, 1]
[därjämte, 3]
[dödsstraff, 1]
[Dödsstraff, 1]
[efter, 1]
[Efter, 1]
[egendom, 3]
[eget, 1]
[ej, 12]
[Ej, 1]
[ekonomisk, 1]
[ekonomiska, 1]
[ekonomiskt, 1]
[eller, 77]
[en, 4]
[enbart, 4]
[endast, 5]
[enlighet, 1]
[enligt, 5]
[ensam, 1]
[enskild, 1]
[enskilda, 2]
[enskilde, 1]
[enskildes, 2]
[enskilds, 1]
[erfarit, 1]
[erhålla, 1]
[ersättning, 2]
[Ersättningen, 1]
[Etniska, 1]
[etniskt, 4]
[ett, 5]
[europeiska, 1]
[expropriation, 3]
[fackliga, 3]
[fall, 7]
[familjeliv, 1]
[farsot, 1]
[fastigheten, 2]
[fem, 1]
[femte, 1]
[filmer, 1]
[finner, 1]
[Finner, 1]
[finns, 4]
[fjärde, 1]
[folket, 1]
[folkets, 1]
[folkförsörjningen, 1]
[folkgrupp, 1]
[folkstyrelsen, 1]
[folkstyrelsens, 1]
[fortsatt, 1]
[fotografer, 1]
[fotografers, 1]
[framförande, 1]
[framtvinga, 2]
[fri, 3]
[fria, 1]
[frihet, 9]
[friheten, 2]
[friheter, 1]
[friheterna, 1]
[frihetsberövande, 5]
[frihetsstraff, 1]
[fråga, 5]
[från, 4]
[främja, 1]
[främjas, 1]
[främsta, 1]
[fullgör, 1]
[funktionshinder, 1]
[få, 2]
[får, 30]
[födelsen, 1]
[följa, 1]
[följer, 3]
[för, 31]
[För, 1]
[föranleder, 1]
[föranlett, 1]
[förbud, 1]
[förebyggandet, 1]
[förekomma, 1]
[förenar, 1]
[förening, 1]
[Förening, 1]
[föreningsfrihet, 2]
[Föreningsfriheten, 1]
[föreskrift, 4]
[föreskriften, 1]
[föreskrifter, 3]
[föreskrifterna, 1]
[föreskriva, 1]
[föreskrivas, 2]
[föreskriven, 1]
[föreskrivet, 1]
[föreskrivits, 1]
[företag, 1]
[företrädare, 1]
[Författare, 1]
[författares, 1]
[författning, 1]
[förflytta, 1]
[förfogande, 3]
[förföljelse, 1]
[Förhandling, 1]
[förhållande, 1]
[förkastas, 1]
[förlorar, 1]
[förlusten, 1]
[församlingar, 1]
[förslag, 5]
[Förslag, 1]
[förslaget, 2]
[första, 15]
[försvåras, 1]
[försändelse, 1]
[förtrolig, 2]
[förtroligt, 1]
[förvaltning, 1]
[förvaltningen, 2]
[förvaltningsmyndigheter, 2]
[förverkande, 1]
[förverkligas, 1]
[föräldrarna, 1]
[förövades, 1]
[generationer, 1]
[genom, 9]
[gentemot, 5]
[giltighet, 1]
[giva, 2]
[god, 1]
[godtagbart, 1]
[granskar, 1]
[grund, 7]
[grundas, 1]
[grunder, 2]
[grundlagar, 1]
[grundläggande, 3]
[Grundläggande, 1]
[grundvalar, 1]
[gynna, 1]
[gå, 1]
[gälla, 1]
[gällde, 1]
[gäller, 7]
[gärning, 3]
[gärningen, 1]
[göras, 2]
[ha, 2]
[hade, 2]
[han, 3]
[Han, 4]
[handlingar, 1]
[hans, 3]
[har, 5]
[Har, 3]
[helgd, 1]
[heller, 4]
[hemlig, 1]
[hemlighållande, 1]
[henne, 1]
[hinder, 2]
[hindra, 2]
[hindras, 1]
[hjälp, 1]
[honom, 1]
[hot, 1]
[hudfärg, 4]
[hur, 1]
[huruvida, 1]
[husrannsakan, 3]
[hållbar, 1]
[hälsa, 1]
[hänseende, 1]
[hänsyn, 6]
[här, 2]
[härav, 2]
[härom, 1]
[högre, 1]
[högst, 1]
[i, 83]
[I, 5]
[iakttaga, 1]
[icke, 9]
[idéer, 1]
[in, 1]
[informationsfrihet, 3]
[informationsfriheten, 3]
[inför, 2]
[införas, 1]
[ingen, 1]
[Ingen, 2]
[ingrepp, 3]
[inhämta, 1]
[innebär, 1]
[innebära, 3]
[innehar, 1]
[innehåll, 1]
[inom, 4]
[inrättande, 1]
[inrättas, 1]
[inskränker, 2]
[inskränkningar, 1]
[inte, 1]
[integritet, 2]
[intresse, 1]
[intressen, 2]
[intrång, 4]
[inträda, 1]
[inträffade, 2]
[jämlikhet, 1]
[jämställdhet, 1]
[jämställes, 1]
[kammare, 1]
[kan, 2]
[kap, 4]
[kommande, 1]
[kommunal, 1]
[kommunala, 1]
[kommunerna, 1]
[Kommunerna, 1]
[Konstitutionsutskottet, 1]
[konstnärer, 1]
[konstnärers, 1]
[konstnärligt, 1]
[konungen, 1]
[Konungen, 1]
[konventionen, 1]
[kostnadsfritt, 1]
[kraft, 1]
[krig, 1]
[krigsfara, 1]
[kris, 1]
[kroppsligt, 2]
[kroppsstraff, 2]
[kroppsvisitation, 2]
[kränkes, 1]
[krävs, 1]
[kultur, 1]
[kulturell, 1]
[kulturella, 2]
[kulturellt, 1]
[kunna, 3]
[kvinnor, 1]
[känna, 2]
[känslor, 1]
[kön, 3]
[lag, 17]
[Lag, 34]
[lagarna, 1]
[lagen, 2]
[lagförslag, 1]
[landsförvisas, 1]
[landstingskommuner, 1]
[led, 1]
[ledamöter, 1]
[leder, 1]
[lika, 2]
[likaså, 1]
[likhet, 1]
[liknande, 6]
[likställd, 2]
[likställes, 1]
[ljudradio, 1]
[ljudupptagningar, 1]
[långt, 1]
[läggning, 1]
[lägst, 1]
[lämna, 1]
[lämnat, 1]
[makt, 1]
[makten, 2]
[mark, 3]
[markanvändning, 1]
[med, 18]
[Med, 2]
[medborgare, 17]
[medborgares, 1]
[medborgarskap, 3]
[meddela, 1]
[meddelande, 3]
[meddelas, 2]
[meddelelse, 1]
[medel, 1]
[medgiver, 1]
[medicinsk, 2]
[mellan, 1]
[meningen, 8]
[meningsyttring, 3]
[militär, 1]
[miljö, 1]
[minoritet, 1]
[minoriteters, 1]
[minst, 2]
[missgynnande, 1]
[missgynnas, 2]
[misstanke, 3]
[mot, 27]
[motsvarande, 2]
[mottaga, 2]
[motverka, 2]
[myndighet, 2]
[mål, 2]
[mån, 1]
[månader, 1]
[män, 1]
[människans, 1]
[människor, 2]
[människors, 1]
[mänskliga, 1]
[möjliga, 1]
[möjligheter, 1]
[mötesfrihet, 2]
[mötesfriheten, 1]
[Mötesfriheten, 1]
[nationellt, 1]
[natur, 1]
[naturen, 1]
[nu, 2]
[nuvarande, 1]
[nyssnämnda, 1]
[någon, 5]
[nämnd, 1]
[nämnden, 1]
[nämndens, 1]
[när, 5]
[näring, 2]
[näringsverksamhet, 1]
[närmare, 2]
[nödvändigt, 1]
[oberoende, 1]
[och, 72]
[också, 3]
[offentlig, 2]
[offentliga, 5]
[offentlighet, 1]
[om, 27]
[Om, 1]
[omfattas, 1]
[omhändertagen, 1]
[områden, 1]
[omsorg, 1]
[omständighet, 3]
[opartiskhet, 1]
[opinionsbildning, 2]
[ordföranden, 1]
[ordinarie, 1]
[ordning, 3]
[oskäligt, 2]
[ovan, 1]
[parlamentariskt, 1]
[person, 1]
[personer, 1]
[personlig, 1]
[personliga, 2]
[plats, 1]
[politisk, 2]
[politiska, 2]
[politiskt, 1]
[primärkommuner, 1]
[privatliv, 1]
[privatlivets, 1]
[prövad, 2]
[prövar, 1]
[prövning, 3]
[på, 17]
[På, 1]
[påföljd, 2]
[pågående, 1]
[påkalla, 1]
[påkallat, 2]
[påtvingat, 1]
[påverkan, 2]
[ras, 3]
[redan, 1]
[regeringen, 2]
[Regeringen, 1]
[regeringsform, 1]
[Regeringsformen, 1]
[register, 1]
[registreras, 1]
